algo,variant,store,brand,MAE,RMSE,MAPE,sMAPE,MASE,n,n_nonzero,volume
sarimax,gt,Toko_A,Xiaomi,2.31865060359168,3.0517554807369454,65.91133624780497,75.90807142545928,0.8754089013560424,37,33,129.0
sarimax,gt,Toko_B,OPPO,1.5247798079742767,1.9834530636917094,84.04401058111291,68.76985632446298,0.8176355492035976,37,33,87.0
sarimax,gt,Toko_B,Realme,1.6479588026763579,2.235887434888938,48.759196335928685,66.62236915544442,0.6851064685283735,37,33,121.0
sarimax,gt,Toko_B,Samsung,1.8181531939044189,2.17128387940977,103.9529262627585,80.56464479055873,1.2012797888297053,37,32,75.0
sarimax,gt,Toko_B,Vivo,1.4339866429958603,1.7405254252757498,73.38780810614718,104.03211472169984,1.0010850149216384,37,29,64.0
sarimax,gt,Toko_B,Xiaomi,2.2671672901198883,2.843133890904949,82.31280042921773,154.40220535077967,0.9754091829585567,37,31,94.0
sarimax,gt,Toko_C,OPPO,1.783127537548513,2.143395286779617,47.84045071081249,105.88108469838818,0.9561698389752895,37,23,63.0
sarimax,gt,Toko_C,Realme,1.5180517107971652,1.9580699026163422,68.68094802478227,71.74542973016031,0.7020989162436888,37,33,91.0
sarimax,gt,Toko_C,Samsung,1.409839777372634,1.754664303982514,64.56326668389077,86.2719214922578,0.8025241809659609,37,29,67.0
sarimax,gt,Toko_C,Vivo,1.2431321480449393,1.5485418744580748,43.35643767143956,126.04918318241248,0.7665981579610459,37,19,41.0
sarimax,gt,Toko_C,Xiaomi,1.6731670180993568,2.1370782227815543,89.45440226225102,148.64390184143573,1.1255850849032036,37,29,68.0
sarimax,gt,Toko_D,OPPO,1.2031151031528686,1.5104929244648906,49.42953303406752,98.15233871448015,0.8560626695510796,37,27,54.0
sarimax,gt,Toko_D,Realme,1.4905670967028937,1.885853645195445,60.86098352257393,86.06900327885131,0.823148993701598,37,30,76.0
sarimax,gt,Toko_D,Samsung,0.9420843215911524,1.0740172125796617,40.59334617045403,118.4207338903215,0.8299314261636342,37,20,33.0
sarimax,gt,Toko_D,Vivo,1.3222584828484183,1.7713521760571709,47.64380343710714,107.246672867823,0.6890642797942462,37,23,58.0
sarimax,gt,Toko_D,Xiaomi,1.3927893279129813,1.843869655337277,61.139215071275586,118.39891917802596,0.7468580454026131,37,27,64.0
rf,baseline,Toko_A,OPPO,1.8679940476190475,2.1062021674009905,105.45540764790763,79.46197374865291,0.8976075293753865,37,33,92.0
