week_start,brand,gt_index
2022-05-09,OPPO,86.0
2022-05-16,OPPO,78.0
2022-05-23,OPPO,75.0
2022-05-30,OPPO,76.0
2022-06-06,OPPO,73.0
2022-06-13,OPPO,73.0
2022-06-20,OPPO,78.0
2022-06-27,OPPO,78.0
2022-07-04,OPPO,78.0
2022-07-11,OPPO,72.0
2022-07-18,OPPO,72.0
2022-07-25,OPPO,65.0
2022-08-01,OPPO,63.0
2022-08-08,OPPO,66.0
2022-08-15,OPPO,68.0
2022-08-22,OPPO,64.0
2022-08-29,OPPO,67.0
2022-09-05,OPPO,67.0
2022-09-12,OPPO,66.0
2022-09-19,OPPO,62.0
2022-09-26,OPPO,65.0
2022-10-03,OPPO,66.0
2022-10-10,OPPO,65.0
2022-10-17,OPPO,68.0
2022-10-24,OPPO,69.0
2022-10-31,OPPO,68.0
2022-11-07,OPPO,65.0
2022-11-14,OPPO,66.0
2022-11-21,OPPO,61.0
2022-11-28,OPPO,61.0
2022-12-05,OPPO,62.0
2022-12-12,OPPO,70.0
2022-12-19,OPPO,79.0
2022-12-26,OPPO,83.0
2023-01-02,OPPO,81.0
2023-01-09,OPPO,68.0
2023-01-16,OPPO,68.0
2023-01-23,OPPO,68.0
2023-01-30,OPPO,66.0
2023-02-06,OPPO,66.0
2023-02-13,OPPO,64.0
2023-02-20,OPPO,57.99999999999999
2023-02-27,OPPO,61.0
2023-03-06,OPPO,64.0
2023-03-13,OPPO,62.0
2023-03-20,OPPO,64.0
2023-03-27,OPPO,64.0
2023-04-03,OPPO,70.0
2023-04-10,OPPO,65.0
2023-04-17,OPPO,63.0
2023-04-24,OPPO,88.0
2023-05-01,OPPO,78.0
2023-05-08,OPPO,71.0
2023-05-15,OPPO,65.0
2023-05-22,OPPO,69.0
2023-05-29,OPPO,65.0
2023-06-05,OPPO,63.0
2023-06-12,OPPO,65.0
2023-06-19,OPPO,68.0
2023-06-26,OPPO,67.0
2023-07-03,OPPO,69.0
2023-07-10,OPPO,65.0
2023-07-17,OPPO,56.99999999999999
2023-07-24,OPPO,52.0
2023-07-31,OPPO,52.0
2023-08-07,OPPO,53.0
2023-08-14,OPPO,55.00000000000001
2023-08-21,OPPO,51.0
2023-08-28,OPPO,52.0
2023-09-04,OPPO,52.0
2023-09-11,OPPO,49.0
2023-09-18,OPPO,49.0
2023-09-25,OPPO,53.0
2023-10-02,OPPO,49.0
2023-10-09,OPPO,52.0
2023-10-16,OPPO,52.0
2023-10-23,OPPO,52.0
2023-10-30,OPPO,51.0
2023-11-06,OPPO,50.0
2023-11-13,OPPO,48.0
2023-11-20,OPPO,50.0
2023-11-27,OPPO,49.0
2023-12-04,OPPO,49.0
2023-12-11,OPPO,55.00000000000001
2023-12-18,OPPO,56.00000000000001
2023-12-25,OPPO,59.0
2024-01-01,OPPO,59.0
2024-01-08,OPPO,52.0
2024-01-15,OPPO,51.0
2024-01-22,OPPO,51.0
2024-01-29,OPPO,46.0
2024-02-05,OPPO,48.0
2024-02-12,OPPO,43.0
2024-02-19,OPPO,44.0
2024-02-26,OPPO,48.0
2024-03-04,OPPO,44.0
2024-03-11,OPPO,46.0
